Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,36778.628906,37299.792969,35876.460938,36919.187500,36919.187500,59519070252
2021-01-01,36909.375000,37681.746094,36666.964844,37393.089844,37393.089844,51849388517
2021-01-02,37396.023438,42206.632813,37033.218750,40898.171875,40898.171875,86393019962
2021-01-03,40900.894531,44056.867188,40802.761719,41711.191406,41711.191406,100092071966
2021-01-04,41747.992188,42467.906250,36399.628906,40865.062500,40865.062500,103739501829
2021-01-05,40871.613281,43642.414063,38539.417969,43089.992188,43089.992188,85625353050
2021-01-06,43116.847656,46711.308594,42464.960938,46641.222656,46641.222656,95360542812
2021-01-07,46653.269531,51054.824219,46275.972656,49945.906250,49945.906250,107528828302
2021-01-08,49959.511719,53271.730469,46712.902344,51769.027344,51769.027344,111801657940
2021-01-09,51757.644531,52579.000000,49463.222656,51079.398438,51079.398438,78652324066
2021-01-10,51078.980469,52558.496094,45680.503906,48817.738281,48817.738281,101794616835
2021-01-11,48805.125000,48805.125000,39024.972656,45432.597656,45432.597656,157528829551
2021-01-12,45368.351563,46613.718750,41735.207031,43108.246094,43108.246094,95019563596
2021-01-13,43098.281250,47769.207031,41439.484375,47383.304688,47383.304688,88076935594
2021-01-14,47394.414063,50571.691406,46788.234375,49563.347656,49563.347656,80460231874
2021-01-15,49524.621094,50045.816406,44171.777344,46905.535156,46905.535156,86308842375
2021-01-16,46900.800781,48228.945313,45387.492188,46081.144531,46081.144531,73502044976
2021-01-17,46062.687500,46767.015625,43282.687500,45711.007813,45711.007813,66871649765
2021-01-18,45712.234375,47679.492188,44586.644531,46701.332031,46701.332031,63124697454
2021-01-19,46716.832031,48073.707031,45888.945313,45888.945313,45888.945313,72827553846
2021-01-20,45863.890625,46274.687500,42417.207031,44892.292969,44892.292969,84403577912
2021-01-21,44894.375000,44877.082031,38235.890625,38992.074219,38992.074219,95682504823
2021-01-22,38981.859375,43016.281250,36645.445313,42028.714844,42028.714844,98313810634
2021-01-23,42003.238281,42481.035156,40102.601563,40834.132813,40834.132813,61573714469
2021-01-24,40829.976563,41950.078125,39630.695313,41094.109375,41094.109375,61908127615
2021-01-25,41089.554688,44272.917969,40894.730469,41229.378906,41229.378906,76298845055
2021-01-26,41219.468750,41623.234375,39430.964844,41341.234375,41341.234375,76482809027
